@RELATION Accelerometer

@ATTRIBUTE Timestamp NUMERIC
@ATTRIBUTE accX NUMERIC
@ATTRIBUTE accY NUMERIC
@ATTRIBUTE accZ NUMERIC
@ATTRIBUTE accTotal NUMERIC
@ATTRIBUTE label {lying,running,sitting,standing,walking}

@DATA
170037152,-0.255,9.885,-0.314,9.893272764864012,standing
170037160,-0.255,9.885,-0.294,9.89265818675648,standing
170037168,-0.255,9.905,-0.294,9.912642735416222,standing
170037177,-0.275,9.865,-0.314,9.873826309997558,standing
170037185,-0.235,9.826,-0.314,9.833824128994783,standing
170037193,-0.177,9.885,-0.294,9.890954958951133,standing
170037202,-0.177,9.885,-0.294,9.890954958951133,standing
170037210,-0.137,9.944,-0.294,9.949288467021148,standing
170037219,-0.078,9.885,-0.294,9.889678710655872,standing
170037227,-0.078,9.924,-0.314,9.929272682326737,standing
170037235,0.039,9.905,-0.333,9.910672782409879,standing
170037244,0.078,9.944,-0.314,9.94926208318989,standing
170037252,0.137,9.944,-0.314,9.949899547231622,standing
170037261,0.137,9.944,-0.314,9.949899547231622,standing
170037269,0.177,9.944,-0.373,9.952567206505064,standing
170037277,0.235,9.924,-0.451,9.937021787235851,standing
170037286,0.294,9.885,-0.490,9.90150296672177,standing
170037294,0.333,9.885,-0.530,9.904797524432288,standing
170037303,0.353,9.846,-0.510,9.865516965673923,standing
170037311,0.353,9.846,-0.510,9.865516965673923,standing
170037319,0.333,9.807,-0.490,9.824878523422058,standing
170037328,0.314,9.885,-0.431,9.899372808415693,standing
170037336,0.353,9.944,-0.451,9.960479205339471,standing
170037345,0.373,9.924,-0.412,9.939549738292976,standing
170037353,0.275,9.944,-0.392,9.955522336874145,standing
170037361,0.275,9.944,-0.392,9.955522336874145,standing
170037370,0.255,9.905,-0.392,9.916033178645582,standing
170037378,0.216,9.924,-0.353,9.932625081014585,standing
170037387,0.255,9.964,-0.275,9.971055410537042,standing
170037395,0.196,9.983,-0.314,9.989859908927652,standing
170037403,0.177,9.944,-0.275,9.949376362365635,standing
170037412,0.177,9.944,-0.275,9.949376362365635,standing
170037420,0.177,9.905,-0.333,9.912176501656939,standing
170037428,0.157,9.865,-0.314,9.871244602379175,standing
170037437,0.118,9.885,-0.255,9.888992567496448,standing
170037445,0.098,9.905,-0.255,9.908766522630351,standing
170037454,0.118,9.905,-0.177,9.907284087982942,standing
170037462,0.118,9.905,-0.177,9.907284087982942,standing
170037470,0.118,9.944,-0.137,9.945643719739815,standing
